h3_id,water_observation_rate
88a8aca85bfffff,0.026
88a8aca85dfffff,0.0285
88a8aca8c1fffff,0.0167
88a8aca8c3fffff,0.017
88a8aca8c5fffff,0.0213
88a8aca8c7fffff,0.005
88a8aca8c9fffff,0.0237
88a8aca8cbfffff,0.012
88a8aca8cdfffff,0.0197
88a8aca8d1fffff,0.0547
88a8aca8d9fffff,0.0329
88a8aca8dbfffff,0.0219
88a8aca8ddfffff,0.0271
88a8aca8e1fffff,0.0347
88a8aca8e5fffff,0.0263
88a8aca8e9fffff,0.0428
88a8aca8ebfffff,0.0138
88a8aca8edfffff,0.0726
88a8aca9cbfffff,0.0585
88a8aca9ddfffff,0.027
88a8acaa03fffff,0.0704
88a8acaa11fffff,0.0318
88a8acaa13fffff,0.0275
88a8acaa15fffff,0.0279
88a8acaa17fffff,0.0294
88a8acaa19fffff,0.0856
88a8acaa1bfffff,0.0261
88a8acaa1dfffff,0.0604
88a8acaa31fffff,0.046
88a8acaa33fffff,0.0358
88a8acaa37fffff,0.056
88a8acaa39fffff,0.078
88a8acaa3bfffff,0.0223
88a8acaa3dfffff,0.0888
88a8acaa43fffff,0.1523
88a8acaa49fffff,0.0378
88a8acaa4bfffff,0.0295
88a8acaa51fffff,0.2568
88a8acaa53fffff,0.2009
88a8acaa55fffff,0.1912
88a8acaa57fffff,0.0983
88a8acaa59fffff,0.0265
88a8acaa5bfffff,0.2037
88a8acaa5dfffff,0.0785
88a8acaa81fffff,0.0272
88a8acaa83fffff,0.0184
88a8acaa85fffff,0.0228
88a8acaa87fffff,0.0312
88a8acaa89fffff,0.0176
88a8acaa8bfffff,0.0227
88a8acaa8dfffff,0.0256
88a8acaa91fffff,0.0251
88a8acaa93fffff,0.0235
88a8acaa95fffff,0.0135
88a8acaa97fffff,0.0257
88a8acaa99fffff,0.0335
88a8acaa9bfffff,0.0372
88a8acaa9dfffff,0.0208
88a8acaaa1fffff,0.0139
88a8acaaa3fffff,0.0223
88a8acaaa5fffff,0.0359
88a8acaaa7fffff,0.022
88a8acaaa9fffff,0.0201
88a8acaaabfffff,0.0306
88a8acaaadfffff,0.0297
88a8acaab1fffff,0.0372
88a8acaab3fffff,0.0299
88a8acaab5fffff,0.0185
88a8acaab7fffff,0.0355
88a8acaab9fffff,0.024
88a8acaabbfffff,0.024
88a8acaabdfffff,0.0331
88a8acaac1fffff,0.0199
88a8acaac3fffff,0.0179
88a8acaac5fffff,0.0239
88a8acaac7fffff,0.0233
88a8acaac9fffff,0.0174
88a8acaacbfffff,0.0197
88a8acaacdfffff,0.0204
88a8acaad1fffff,0.0305
88a8acaad3fffff,0.0283
88a8acaad5fffff,0.0182
88a8acaad7fffff,0.0268
88a8acaad9fffff,0.0184
88a8acaadbfffff,0.0211
88a8acaaddfffff,0.017
88a8acaae1fffff,0.018
88a8acaae3fffff,0.0175
88a8acaae5fffff,0.0254
88a8acaae7fffff,0.0139
88a8acaae9fffff,0.0311
88a8acaaebfffff,0.0277
88a8acaaedfffff,0.0206
88a8acaf0dfffff,0.0251
88a8acaf41fffff,0.0276
88a8acaf43fffff,0.0413
88a8acaf45fffff,0.0178
88a8acaf47fffff,0.0322
88a8acaf49fffff,0.0248
88a8acaf4bfffff,0.0275
88a8acaf4dfffff,0.0229
88a8acaf5dfffff,0.0228
88a8acaf61fffff,0.0273
88a8acaf63fffff,0.0208
88a8acaf65fffff,0.0437
88a8acaf67fffff,0.0189
88a8acaf69fffff,0.0213
88a8acaf6bfffff,0.0362
88a8acaf6dfffff,0.0732
88a8acb001fffff,0.0193
88a8acb003fffff,0.0243
88a8acb005fffff,0.0249
88a8acb007fffff,0.0162
88a8acb009fffff,0.0158
88a8acb00bfffff,0.0215
88a8acb00dfffff,0.0124
88a8acb011fffff,0.0185
88a8acb013fffff,0.0153
88a8acb015fffff,0.022
88a8acb017fffff,0.0188
88a8acb019fffff,0.0143
88a8acb01bfffff,0.0129
88a8acb01dfffff,0.0159
88a8acb021fffff,0.0235
88a8acb023fffff,0.0186
88a8acb025fffff,0.0279
88a8acb027fffff,0.0218
88a8acb029fffff,0.0208
88a8acb02bfffff,0.0172
88a8acb02dfffff,0.0157
88a8acb031fffff,0.0169
88a8acb033fffff,0.0207
88a8acb035fffff,0.0194
88a8acb037fffff,0.0168
88a8acb039fffff,0.0219
88a8acb03bfffff,0.0245
88a8acb03dfffff,0.0176
88a8acb041fffff,0.0242
88a8acb043fffff,0.0264
88a8acb045fffff,0.0233
88a8acb047fffff,0.0214
88a8acb04bfffff,0.0415
88a8acb055fffff,0.0235
88a8acb057fffff,0.0195
88a8acb05dfffff,0.0315
88a8acb061fffff,0.025
88a8acb063fffff,0.0269
88a8acb065fffff,0.0406
88a8acb067fffff,0.0259
88a8acb069fffff,0.0241
88a8acb06bfffff,0.0147
88a8acb06dfffff,0.0229
88a8acb081fffff,0.0188
88a8acb085fffff,0.0185
88a8acb087fffff,0.0304
88a8acb08dfffff,0.0208
88a8acb0a1fffff,0.0209
88a8acb0a3fffff,0.0167
88a8acb0a5fffff,0.0242
88a8acb0a7fffff,0.0197
88a8acb0a9fffff,0.016
88a8acb0abfffff,0.0186
88a8acb0adfffff,0.0216
88a8acb0b1fffff,0.0401
88a8acb0b3fffff,0.0414
88a8acb0b5fffff,0.0267
88a8acb0b7fffff,0.02
88a8acb0b9fffff,0.0132
88a8acb0bbfffff,0.0236
88a8acb0bdfffff,0.0116
88a8acb0c1fffff,0.0217
88a8acb0c5fffff,0.0228
88a8acb0c7fffff,0.0196
88a8acb0cdfffff,0.0201
88a8acb0e1fffff,0.0115
88a8acb0e3fffff,0.0207
88a8acb0e5fffff,0.0228
88a8acb0e7fffff,0.0178
88a8acb0e9fffff,0.019
88a8acb0ebfffff,0.0203
88a8acb0edfffff,0.0148
88a8acb101fffff,0.0273
88a8acb103fffff,0.0264
88a8acb105fffff,0.0206
88a8acb107fffff,0.0322
88a8acb109fffff,0.0282
88a8acb10bfffff,0.0412
88a8acb10dfffff,0.0367
88a8acb111fffff,0.0196
88a8acb113fffff,0.0177
88a8acb115fffff,0.0324
88a8acb117fffff,0.0557
88a8acb119fffff,0.0485
88a8acb11bfffff,0.0549
88a8acb11dfffff,0.0135
88a8acb121fffff,0.0426
88a8acb123fffff,0.0236
88a8acb125fffff,0.0235
88a8acb127fffff,0.0339
88a8acb129fffff,0.0323
88a8acb12bfffff,0.0426
88a8acb12dfffff,0.0162
88a8acb131fffff,0.0457
88a8acb133fffff,0.0521
88a8acb135fffff,0.0558
88a8acb137fffff,0.0459
88a8acb139fffff,0.0377
88a8acb13bfffff,0.0477
88a8acb13dfffff,0.0457
88a8acb141fffff,0.0225
88a8acb143fffff,0.0248
88a8acb145fffff,0.022
88a8acb147fffff,0.0215
88a8acb149fffff,0.056
88a8acb14bfffff,0.0285
88a8acb14dfffff,0.0137
88a8acb151fffff,0.0277
88a8acb153fffff,0.0258
88a8acb155fffff,0.0323
88a8acb157fffff,0.0195
88a8acb159fffff,0.0263
88a8acb15bfffff,0.0326
88a8acb15dfffff,0.0359
88a8acb161fffff,0.0207
88a8acb163fffff,0.0146
88a8acb165fffff,0.0149
88a8acb167fffff,0.0265
88a8acb169fffff,0.0288
88a8acb16bfffff,0.0188
88a8acb16dfffff,0.018
88a8acb181fffff,0.024
88a8acb183fffff,0.0263
88a8acb185fffff,0.0261
88a8acb187fffff,0.0209
88a8acb189fffff,0.0267
88a8acb18bfffff,0.02
88a8acb18dfffff,0.0244
88a8acb191fffff,0.0277
88a8acb193fffff,0.0196
88a8acb195fffff,0.0235
88a8acb197fffff,0.0202
88a8acb199fffff,0.0444
88a8acb19bfffff,0.0218
88a8acb19dfffff,0.0317
88a8acb1a1fffff,0.0348
88a8acb1a3fffff,0.0281
88a8acb1a5fffff,0.0122
88a8acb1a7fffff,0.0261
88a8acb1a9fffff,0.0233
88a8acb1abfffff,0.0363
88a8acb1adfffff,0.0182
88a8acb1b1fffff,0.0129
88a8acb1b3fffff,0.0187
88a8acb1b5fffff,0.0561
88a8acb1b7fffff,0.0183
88a8acb1b9fffff,0.0257
88a8acb1bbfffff,0.0223
88a8acb1bdfffff,0.0259
88a8acb1c1fffff,0.0316
88a8acb1c3fffff,0.0283
88a8acb1c5fffff,0.0217
88a8acb1c7fffff,0.0249
88a8acb1c9fffff,0.0168
88a8acb1cbfffff,0.0262
88a8acb1cdfffff,0.0237
88a8acb1d1fffff,0.029
88a8acb1d3fffff,0.0413
88a8acb1d5fffff,0.0223
88a8acb1d7fffff,0.0535
88a8acb1d9fffff,0.022
88a8acb1dbfffff,0.0321
88a8acb1ddfffff,0.019
88a8acb1e1fffff,0.0403
88a8acb1e3fffff,0.0254
88a8acb1e5fffff,0.0913
88a8acb1e7fffff,0.0333
88a8acb1e9fffff,0.0649
88a8acb1ebfffff,0.03
88a8acb1edfffff,0.0293
88a8acb307fffff,0.0173
88a8acb311fffff,0.0395
88a8acb313fffff,0.0251
88a8acb317fffff,0.0473
88a8acb323fffff,0.0327
88a8acb327fffff,0.0383
88a8acb32bfffff,0.0258
88a8acb331fffff,0.0484
88a8acb333fffff,0.025
88a8acb335fffff,0.0478
88a8acb337fffff,0.0236
88a8acb33bfffff,0.0274
88a8acb33dfffff,0.0533
88a8acb521fffff,0.0178
88a8acb523fffff,0.0198
88a8acb525fffff,0.0194
88a8acb527fffff,0.0121
88a8acb529fffff,0.0271
88a8acb52dfffff,0.022
88a8acb565fffff,0.016
88a8acb567fffff,0.023
88a8acb56dfffff,0.0201
88a8acb803fffff,0.04
88a8acb809fffff,0.0267
88a8acb80bfffff,0.0225
88a8acb811fffff,0.0396
88a8acb813fffff,0.0235
88a8acb815fffff,0.0747
88a8acb817fffff,0.0546
88a8acb819fffff,0.0475
88a8acb81bfffff,0.0223
88a8acb81dfffff,0.0726
88a8acb833fffff,0.0281
88a8acb839fffff,0.0232
88a8acb83bfffff,0.0229
88a8acb84bfffff,0.0191
88a8acb851fffff,0.0159
88a8acb853fffff,0.0208
88a8acb855fffff,0.029
88a8acb857fffff,0.046
88a8acb859fffff,0.0248
88a8acb85bfffff,0.0271
88a8acb85dfffff,0.0211
88a8acb881fffff,0.0391
88a8acb883fffff,0.0461
88a8acb885fffff,0.0201
88a8acb887fffff,0.0392
88a8acb889fffff,0.011
88a8acb88bfffff,0.0383
88a8acb88dfffff,0.0182
88a8acb891fffff,0.0341
88a8acb893fffff,0.0657
88a8acb895fffff,0.0346
88a8acb897fffff,0.0292
88a8acb899fffff,0.06
88a8acb89bfffff,0.0557
88a8acb89dfffff,0.03
88a8acb8a1fffff,0.0569
88a8acb8a3fffff,0.0447
88a8acb8a5fffff,0.044
88a8acb8a7fffff,0.0277
88a8acb8a9fffff,0.0197
88a8acb8abfffff,0.0284
88a8acb8adfffff,0.0352
88a8acb8b1fffff,0.0503
88a8acb8b3fffff,0.0289
88a8acb8b5fffff,0.0472
88a8acb8b7fffff,0.0488
88a8acb8b9fffff,0.0397
88a8acb8bbfffff,0.0615
88a8acb8bdfffff,0.0408
88a8acb8c1fffff,0.0485
88a8acb8c3fffff,0.0277
88a8acb8c5fffff,0.0308
88a8acb8c7fffff,0.0329
88a8acb8c9fffff,0.0293
88a8acb8cbfffff,0.0177
88a8acb8cdfffff,0.0433
88a8acb8d1fffff,0.0527
88a8acb8d3fffff,0.0853
88a8acb8d5fffff,0.0348
88a8acb8d7fffff,0.0817
88a8acb8d9fffff,0.0261
88a8acb8dbfffff,0.0335
88a8acb8ddfffff,0.0271
88a8acb8e1fffff,0.0181
88a8acb8e3fffff,0.018
88a8acb8e5fffff,0.018
88a8acb8e7fffff,0.0182
88a8acb8e9fffff,0.0244
88a8acb8ebfffff,0.0256
88a8acb8edfffff,0.0632
88a8acb99bfffff,0.0595
88a8acb9d3fffff,0.0594
88a8acb9dbfffff,0.0439
88a8acba03fffff,0.0205
88a8acba07fffff,0.0157
88a8acba0bfffff,0.0309
88a8acba11fffff,0.0437
88a8acba13fffff,0.0724
88a8acba15fffff,0.0095
88a8acba17fffff,0.044
88a8acba19fffff,0.0217
88a8acba1bfffff,0.0243
88a8acba1dfffff,0.0168
88a8acba23fffff,0.033
88a8acba2bfffff,0.0195
88a8acba31fffff,0.0225
88a8acba33fffff,0.0281
88a8acba35fffff,0.0357
88a8acba37fffff,0.0203
88a8acba39fffff,0.0296
88a8acba3bfffff,0.025
88a8acba3dfffff,0.0346
88a8acba51fffff,0.0256
88a8acba53fffff,0.024
88a8acba57fffff,0.0259
88a8acba5bfffff,0.0181
88a8acba81fffff,0.0225
88a8acba83fffff,0.0592
88a8acba85fffff,0.0267
88a8acba87fffff,0.0866
88a8acba89fffff,0.0313
88a8acba8bfffff,0.0313
88a8acba8dfffff,0.0554
88a8acba91fffff,0.0335
88a8acba93fffff,0.0205
88a8acba95fffff,0.0491
88a8acba97fffff,0.0153
88a8acba99fffff,0.0197
88a8acba9bfffff,0.0165
88a8acba9dfffff,0.0444
88a8acbaa1fffff,0.0346
88a8acbaa3fffff,0.0391
88a8acbaa5fffff,0.0293
88a8acbaa7fffff,0.0288
88a8acbaa9fffff,0.0232
88a8acbaabfffff,0.0199
88a8acbaadfffff,0.0302
88a8acbab1fffff,0.0195
88a8acbab3fffff,0.0184
88a8acbab5fffff,0.0218
88a8acbab7fffff,0.0284
88a8acbab9fffff,0.0408
88a8acbabbfffff,0.0476
88a8acbabdfffff,0.0367
88a8acbac1fffff,0.0397
88a8acbac3fffff,0.0427
88a8acbac5fffff,0.0367
88a8acbac7fffff,0.0642
88a8acbac9fffff,0.0144
88a8acbacbfffff,0.0323
88a8acbacdfffff,0.0278
88a8acbad1fffff,0.0322
88a8acbad3fffff,0.0175
88a8acbad5fffff,0.0364
88a8acbad7fffff,0.0201
88a8acbad9fffff,0.0269
88a8acbadbfffff,0.0094
88a8acbaddfffff,0.0258
88a8acbae1fffff,0.0172
88a8acbae3fffff,0.0211
88a8acbae5fffff,0.018
88a8acbae7fffff,0.034
88a8acbae9fffff,0.0397
88a8acbaebfffff,0.0258
88a8acbaedfffff,0.0189
